site_id,county,agro_ecological_zone,latitude,longitude,elevation_m,annual_rainfall_mm,soil_ph,soil_organic_carbon_pct,total_nitrogen_pct,phosphorus_ppm,potassium_cmol_kg,cec_cmol_kg,clay_pct,sand_pct,silt_pct
KE_00000,Nyeri,II,-0.5868,36.9958,1742.8,1656.6,5.71,2.165,0.1944,4.96,0.369,6.32,52.6,33.72,13.68
KE_00001,Nyeri,II,-0.4842,36.8366,2009.3,1800.4,5.31,2.434,0.2381,7.51,0.471,18.4,52.58,30.04,17.38
KE_00002,Nyeri,II,-0.5732,36.9237,2038.6,1871.3,4.91,2.504,0.2355,7.96,0.82,15.95,32.33,33.42,34.25
KE_00003,Nyeri,II,-0.622,36.8159,2013.0,1889.6,5.25,2.062,0.1715,9.9,0.822,27.37,51.04,26.55,22.41
KE_00004,Nyeri,II,-0.6462,37.1129,2301.5,1511.3,4.92,2.806,0.3377,3.75,0.581,27.84,51.36,38.47,10.17
KE_00005,Nyeri,II,0.0858,36.8099,2071.9,1801.9,5.28,2.446,0.2646,5.07,0.226,17.26,50.95,26.51,22.54
KE_00006,Nyeri,II,-0.3448,37.1217,2112.4,2094.1,5.61,2.449,0.2847,5.8,0.768,20.46,42.06,36.92,21.03
KE_00007,Nyeri,II,-0.8183,36.9998,1902.2,1645.2,5.08,2.319,0.2377,3.96,0.951,21.89,31.61,20.49,47.9
KE_00008,Nyeri,II,-0.4046,36.8831,2615.2,1846.1,5.52,2.383,0.2729,11.06,0.313,17.35,51.19,22.39,26.43
KE_00009,Nyeri,II,-0.2092,37.1568,1925.6,1845.3,5.17,2.45,0.2573,7.02,0.509,25.89,35.22,31.75,33.03
KE_00010,Nyeri,II,-0.3269,36.9239,2557.2,1572.8,5.27,2.807,0.304,15.83,1.235,20.05,43.35,17.92,38.73
KE_00011,Kirinyaga,II,-0.5376,37.3708,2195.3,2127.0,5.31,2.727,0.2925,9.81,0.559,21.14,29.52,29.05,41.42
KE_00012,Kirinyaga,II,-0.8595,37.2962,2191.1,1782.5,5.78,2.609,0.243,3.17,0.78,23.9,45.47,34.37,20.15
KE_00013,Kirinyaga,II,-0.9505,37.1729,1616.7,1977.1,5.56,2.398,0.231,6.93,0.648,25.64,42.21,32.24,25.55
KE_00014,Kirinyaga,II,-0.6095,37.3076,1974.8,1524.3,5.16,2.344,0.205,13.48,0.516,25.81,36.36,18.86,44.78
KE_00015,Kirinyaga,II,-0.8138,37.1225,1993.8,2106.6,5.11,1.499,0.1498,10.35,0.241,14.9,48.96,26.84,24.2
KE_00016,Kirinyaga,II,-0.6497,37.2386,2355.6,1770.9,5.88,2.475,0.2242,2.11,0.707,18.75,51.21,27.67,21.12
KE_00017,Kirinyaga,II,-0.7187,37.3657,2247.2,1765.0,5.57,1.746,0.1717,4.5,0.455,21.19,38.65,25.42,35.93
KE_00018,Kirinyaga,II,-0.6773,37.4248,2380.0,1673.4,5.63,3.467,0.3401,3.43,0.657,19.96,38.48,32.89,28.63
KE_00019,Kirinyaga,II,-0.7322,36.9859,2742.7,1945.1,5.61,3.994,0.4296,9.82,0.637,29.03,49.25,33.24,17.51
KE_00020,Kirinyaga,II,-0.626,37.2594,1812.6,2108.6,5.58,1.828,0.1721,5.03,0.283,22.66,41.56,36.61,21.83
KE_00021,Embu,II,-0.6274,37.5874,2235.2,1611.3,5.98,2.581,0.2952,4.25,0.46,26.48,49.88,27.85,22.26
KE_00022,Embu,II,-0.3474,37.3713,2161.0,1785.1,5.22,2.196,0.2576,15.28,0.605,26.09,42.52,30.27,27.21
KE_00023,Embu,II,-0.5245,37.5493,1996.9,1888.5,5.22,3.002,0.3186,10.15,0.757,21.93,37.82,28.53,33.65
KE_00024,Embu,II,-0.3927,37.4379,2136.0,1764.1,5.94,2.183,0.2485,5.26,0.658,13.31,33.74,22.97,43.29
KE_00025,Embu,II,-0.4924,37.6813,2320.5,1787.9,5.4,2.059,0.174,8.47,0.393,25.12,57.26,27.24,15.5
KE_00026,Embu,II,-0.4355,37.3998,2255.0,1658.6,5.79,2.637,0.2667,16.68,0.84,34.92,38.86,34.11,27.03
KE_00027,Embu,II,-0.2105,37.3388,2347.6,1689.4,4.86,2.916,0.2243,8.57,1.069,27.7,40.38,21.71,37.9
