customer_id,age,gender,county,tenure_months,n_deposits_12m,n_withdrawals_12m,total_deposits_kes,total_withdrawals_kes,avg_savings_balance_kes,n_loans_taken,avg_loan_size_kes,max_loan_size_kes,total_loaned_kes,on_time_repayment_rate,days_since_last_txn,mobile_money_ratio,group_member,_true_segment
MFI_KE_000000,24,F,Kiambu,3,52,63,14267.73,11640.15,2174.12,12,1992.19,3407.51,23453.0,0.6893,0,0.9424,0,1
MFI_KE_000001,45,M,Kisii,29,23,18,55759.23,58412.35,7616.47,2,18019.33,32646.07,42276.65,0.9701,3,0.2679,0,2
MFI_KE_000002,50,F,Embu,6,1,4,5811.08,4557.97,12482.8,0,0.0,0.0,0.0,1.0,43,0.4405,0,5
MFI_KE_000003,24,F,Nakuru,4,35,64,34204.2,31665.04,645.73,9,2029.07,3384.6,15390.71,0.9445,1,0.9634,0,1
MFI_KE_000004,30,F,Kitui,8,21,13,43256.74,39957.7,4695.27,6,21595.91,30530.4,125581.36,0.9408,9,0.5526,0,2
MFI_KE_000005,30,M,Kiambu,6,5,3,1674.93,1353.71,2019.4,0,0.0,0.0,0.0,1.0,40,0.6723,0,5
MFI_KE_000006,21,F,Kiambu,30,41,46,8948.65,7373.97,778.56,4,902.75,908.51,4253.49,0.669,0,0.8093,1,1
MFI_KE_000007,26,F,Turkana,1,1,2,220.74,230.14,1269.04,0,0.0,0.0,0.0,1.0,77,0.496,0,5
MFI_KE_000008,45,F,Nairobi,24,13,20,55097.35,52828.54,12747.22,2,11758.94,15329.58,25150.03,0.9709,5,0.4804,0,2
MFI_KE_000009,51,M,Nairobi,23,74,70,604359.47,540876.53,80747.91,3,62188.59,111679.54,159458.37,0.8043,0,0.4254,0,4
MFI_KE_000010,23,F,Nairobi,24,34,41,22901.09,23043.03,2800.62,18,3146.53,3787.01,65706.42,0.9245,0,0.7614,0,1
MFI_KE_000011,31,F,Laikipia,29,18,14,103059.83,100803.48,55283.71,3,30868.51,61711.23,99708.31,0.9437,1,0.7416,0,2
MFI_KE_000012,25,M,Kericho,3,42,49,37453.12,29194.18,2000.55,9,1963.53,3831.75,20832.39,0.5747,0,0.6207,0,1
MFI_KE_000013,20,F,Bomet,1,6,5,1029.02,981.7,1146.29,2,690.87,1376.99,1232.95,0.5733,22,0.5991,0,5
MFI_KE_000014,31,F,Nakuru,7,46,46,32303.02,31995.09,3605.29,14,1207.21,2328.0,16942.52,0.5633,4,0.914,0,1
MFI_KE_000015,36,M,Laikipia,33,26,22,76193.8,63131.33,36906.23,4,17349.55,29839.85,64685.39,0.9832,2,0.582,0,2
MFI_KE_000016,53,F,Migori,39,13,3,54351.78,54653.78,6444.26,1,128397.87,139247.84,125206.21,0.8097,2,0.4378,0,3
MFI_KE_000017,37,M,Garissa,22,27,23,158608.93,111386.7,18794.0,2,53714.15,103493.7,93221.96,0.9054,8,0.8797,1,2
MFI_KE_000018,48,M,Meru,5,8,2,54889.68,46144.17,1164.33,1,43084.77,67353.38,37514.99,0.5668,10,0.2245,1,3
MFI_KE_000019,26,M,Nairobi,2,1,3,506.98,459.64,242.39,0,0.0,0.0,0.0,1.0,45,0.7026,0,5
MFI_KE_000020,27,F,Uasin Gishu,50,43,49,22484.67,16223.58,233.18,7,2391.49,4207.63,15542.62,0.8344,0,0.8733,1,1
MFI_KE_000021,27,F,Mombasa,15,44,49,38553.68,39898.68,3051.89,8,1813.08,2117.22,12521.29,0.3138,1,0.915,0,1
MFI_KE_000022,30,F,Kilifi,14,46,40,21638.45,18069.13,1231.51,7,1994.62,2570.03,16338.39,0.8861,4,0.9546,1,1
MFI_KE_000023,52,M,Nyeri,5,9,7,29578.78,26819.13,3533.92,0,0.0,0.0,0.0,0.7509,1,0.2579,1,3
